BJD,V,V_error
2457998.53911121,12.485,0.014
2457998.54015322,12.472,0.014
2457998.54119423,12.474,0.014
2457998.54223623,12.489,0.014
2457998.54327824,12.491,0.014
2457998.54431925,12.498,0.014
2457998.54536125,12.465,0.014
2457998.54641426,12.478,0.014
2457998.54745626,12.503,0.014
2457998.54849827,12.506,0.014
2457998.54956228,12.492,0.014
2457998.55063928,12.492,0.014
2457998.55169229,12.499,0.014
2457998.5527573,12.508,0.014
2457998.5538333,12.494,0.014
2457998.55487531,12.513,0.014
2457998.55591732,12.498,0.014
2457998.55697032,12.499,0.014
2457998.55801233,12.499,0.014
2457998.55904233,12.504,0.014
2457998.56013034,12.501,0.014
2457998.56117135,12.505,0.014
2457998.56222435,12.501,0.014
2457998.56327836,12.48,0.014
2457998.56435437,12.456,0.014
2457998.56540737,12.45,0.014
2457998.56646138,12.418,0.014
2457998.56752538,12.422,0.014
2457998.56857939,12.433,0.014
2457998.5696094,12.398,0.014
2457998.5706624,12.386,0.014
2457998.57172741,12.368,0.014
2457998.57276842,12.334,0.014
2457998.57384542,12.325,0.014
2457998.57488643,12.318,0.014
2457998.57594043,12.294,0.014
2457998.57700444,12.323,0.014
2457998.57805845,12.338,0.014
2457998.57911145,12.35,0.014
2457998.58016446,12.344,0.014
2457998.58122947,12.37,0.014
2457998.58228247,12.394,0.014
2457998.58334748,12.378,0.014
2457998.58442449,12.414,0.014
2457998.58547749,12.431,0.015
2457998.5865305,12.447,0.015
2457998.5875835,12.442,0.015
2457998.58862551,12.446,0.015
2457998.58967852,12.453,0.015
2457998.59072052,12.462,0.015
2457998.59176253,12.469,0.015
2457998.59283853,12.461,0.015
2457998.59389154,12.476,0.016
2457998.59495655,12.469,0.016
2457998.59600955,12.472,0.016
2457998.59706256,12.483,0.016
2457998.59811656,12.499,0.016
2457998.60053558,12.515,0.016
2457998.60161158,12.508,0.016
2457998.60268759,12.501,0.016
2457998.6037296,12.5,0.016
2457998.6048056,12.493,0.016
2457998.60585961,12.509,0.016
2457998.60692461,12.51,0.016
2457998.60795462,12.527,0.016
2457998.60904263,12.516,0.016
2457998.61010663,12.515,0.016
2457998.61113664,12.525,0.016
2457998.61220165,12.525,0.017
2457998.61326665,12.524,0.017
2457998.61431966,12.532,0.017
2457998.61536166,12.535,0.017
2457998.61642667,12.524,0.018
2457998.61747967,12.534,0.017
2457998.61852168,12.552,0.017
2457998.61958669,12.525,0.018
2457998.62065069,12.553,0.018
2457998.6217157,12.54,0.018
2457998.6227687,12.533,0.018
2457998.62382271,12.53,0.018
2457998.62487572,12.503,0.018
2457998.62594072,12.519,0.018
2457998.62698173,12.502,0.018
2457998.62802373,12.486,0.018
2457998.62909974,12.492,0.018
2457998.63014175,12.465,0.019
2457999.39418145,12.4,0.05
2458001.31988927,12.6,0.05
2458003.58447162,13,0.05
