Phase,BJD,JD,V,V_error
1.7500040444,2457610.30845453,2457610.30775,14.078,0.0230217289
1.7540485677,2457610.3087545,2457610.30805,14.044,0.0255538647
1.7579583908,2457610.30904448,2457610.30834,14.069,0.0291547595
1.7620029141,2457610.30934445,2457610.30864,14.048,0.0264196896
1.7661822629,2457610.30965442,2457610.30895,14.029,0.0188679623
1.7702269242,2457610.3099544,2457610.30925,14.027,0.0197230829
1.7745411049,2457610.31027437,2457610.30957,14.104,0.0172046505
1.7785856282,2457610.31057434,2457610.30987,14.024,0.013892444
1.782764977,2457610.31088431,2457610.31018,14.077,0.0122065556
1.7869444639,2457610.31119429,2457610.31049,14.039,0.0108166538
1.7909889872,2457610.31149426,2457610.31079,14.07,0.0108166538
1.7950335041,2457610.31179423,2457610.31109,14.048,0.0108166538
1.7993476911,2457610.3121142,2457610.31141,14.036,0.0116619038
1.8032575143,2457610.31240418,2457610.3117,14.04,0.0108166538
1.8073020375,2457610.31270415,2457610.312,14.041,0.0116619038
1.8113465544,2457610.31300412,2457610.3123,14.042,0.0102956301
1.8155260414,2457610.3133141,2457610.31261,14.048,0.0102956301
1.8195705646,2457610.31361407,2457610.31291,14.058,0.0102956301
1.8237499197,2457610.31392404,2457610.31322,14.046,0.0102956301
1.8280641004,2457610.31424401,2457610.31354,14.053,0.0094339811
1.8322435874,2457610.31455399,2457610.31385,14.042,0.0102956301
1.8362881106,2457610.31485396,2457610.31415,14.035,0.0094339811
1.8403326275,2457610.31515393,2457610.31445,14.06,0.0094339811
1.844242457,2457610.31544391,2457610.31474,14.068,0.0086023253
1.8482869739,2457610.31574388,2457610.31504,14.052,0.0094339811
1.852331629,2457610.31604386,2457610.31534,14.048,0.0094339811
1.8565109841,2457610.31635383,2457610.31565,14.065,0.0094339811
1.8605555073,2457610.3166538,2457610.31595,14.047,0.0094339811
1.8650045199,2457610.31698377,2457610.31628,14.063,0.0094339811
1.8690490369,2457610.31728374,2457610.31658,14.063,0.0094339811
1.8732285238,2457610.31759372,2457610.31689,14.063,0.0094339811
1.877273047,2457610.31789369,2457610.31719,14.064,0.0130384048
1.8813175703,2457610.31819366,2457610.31749,14.061,0.0174928557
1.8852273934,2457610.31848364,2457610.31778,14.023,0.0152643375
1.8892719167,2457610.31878361,2457610.31808,14.048,0.0152643375
1.8935860974,2457610.31910358,2457610.3184,14.046,0.0125299641
1.8976307524,2457610.31940356,2457610.3187,14.078,0.0122065556
1.9018101075,2457610.31971353,2457610.31901,14.037,0.0108166538
1.9059894564,2457610.3200235,2457610.31932,14.043,0.0116619038
1.9100341114,2457610.32032348,2457610.31962,14.047,0.0116619038
1.9143482984,2457610.32064345,2457610.31994,14.034,0.0116619038
1.9183928154,2457610.32094342,2457610.32024,14.055,0.0116619038
1.9224373386,2457610.32124339,2457610.32054,14.041,0.0122065556
1.9263471618,2457610.32153337,2457610.32083,14.031,0.0116619038
1.9305265169,2457610.32184334,2457610.32114,14.069,0.0116619038
1.9345710401,2457610.32214331,2457610.32144,14.057,0.0116619038
1.9386156952,2457610.32244329,2457610.32174,14.032,0.0108166538
1.942795044,2457610.32275326,2457610.32205,14.045,0.0108166538
1.947109231,2457610.32307323,2457610.32237,14.041,0.01
1.9511537479,2457610.3233732,2457610.32267,14.061,0.0108166538
1.9553332349,2457610.32368318,2457610.32298,14.064,0.0108166538
1.9593777581,2457610.32398315,2457610.32328,14.06,0.0108166538
1.9635571069,2457610.32429312,2457610.32359,14.05,0.0108166538
1.9676016301,2457610.32459309,2457610.32389,14.058,0.0108166538
1.9715114533,2457610.32488307,2457610.32418,14.062,0.0116619038
1.9755559765,2457610.32518304,2457610.32448,14.05,0.0130384048
1.9798701572,2457610.32550301,2457610.3248,14.08,0.0116619038
1.9839148123,2457610.32580299,2457610.3251,14.075,0.0116619038
1.9880941674,2457610.32611296,2457610.32541,14.043,0.0116619038
1.9922735225,2457610.32642293,2457610.32572,14.054,0.0116619038
1.9963180395,2457610.3267229,2457610.32602,14.055,0.0122065556
2.0006323583,2457610.32704288,2457610.32634,14.043,0.0125299641
2.0046768815,2457610.32734285,2457610.32664,14.054,0.0122065556
2.0087213985,2457610.32764282,2457610.32694,14.061,0.0116619038
